Index,Prediction,Actual,G6 prob,Juul prob,Blu prob
1,2.0,1,0.2,0.5,0.3
2,2.0,2,0.1,0.9,0.0
3,3.0,3,0.0,0.0,1.0
4,1.0,1,0.7,0.2,0.1
5,2.0,2,0.2,0.8,0.0
6,3.0,3,0.1,0.0,0.9
7,1.0,1,0.5,0.3,0.2
8,2.0,2,0.0,0.9,0.1
9,3.0,3,0.0,0.0,1.0
10,1.0,1,0.5,0.3,0.2
11,2.0,2,0.0,1.0,0.0
12,3.0,3,0.0,0.0,1.0
