Index,Prediction,Actual
1,3.0,1
2,3.0,2
3,3.0,3
4,3.0,1
5,3.0,2
6,3.0,3
7,3.0,1
8,3.0,2
9,3.0,3
10,3.0,1
11,3.0,2
12,3.0,3
13,3.0,1
14,3.0,2
15,3.0,3
16,3.0,1
17,3.0,2
18,3.0,3
19,3.0,1
20,3.0,2
21,3.0,3
22,3.0,1
23,3.0,2
24,3.0,3
