Index,Prediction,Actual
1,4.0,1
2,4.0,2
3,4.0,3
4,4.0,4
5,4.0,1
6,4.0,2
7,4.0,3
8,4.0,4
9,4.0,1
10,4.0,2
11,4.0,3
12,4.0,4
13,4.0,1
14,4.0,2
15,4.0,3
16,4.0,4
17,4.0,1
18,4.0,2
19,4.0,3
20,4.0,4
21,4.0,1
22,4.0,2
23,4.0,3
24,4.0,4
25,4.0,1
26,4.0,2
27,4.0,3
28,4.0,4
29,4.0,1
30,4.0,2
31,4.0,3
32,4.0,4
