Index,Prediction,Actual
1,3.0,1
2,3.0,2
3,3.0,3
4,3.0,4
5,3.0,1
6,3.0,2
7,3.0,3
8,3.0,4
9,3.0,1
10,3.0,2
11,3.0,3
12,3.0,4
13,3.0,1
14,3.0,2
15,3.0,3
16,3.0,4
17,3.0,1
18,3.0,2
19,3.0,3
20,3.0,4
21,3.0,1
22,3.0,2
23,3.0,3
24,3.0,4
25,3.0,1
26,3.0,2
27,3.0,3
28,3.0,4
29,3.0,1
30,3.0,2
31,3.0,3
32,3.0,4
